timestamp,vibration_x,vibration_z,temperature
14:00:01,1.2,2.5,45
14:00:02,1.2,2.5,45
14:00:03,1.2,2.5,45
14:00:04,1.2,2.5,45
14:00:05,1.2,2.5,45
14:00:06,1.2,2.5,45
14:00:07,1.2,2.5,45
14:00:08,1.2,2.5,45
14:00:09,1.2,2.5,45
14:00:10,1.2,2.5,45
14:00:11,1.2,2.5,45
14:00:12,1.2,2.5,45
14:00:13,1.2,2.5,45
14:00:14,1.2,2.5,45
14:00:15,1.2,2.5,45
14:00:16,1.2,2.5,45
14:00:17,1.2,2.5,45
14:00:18,1.2,2.5,45
14:00:19,1.2,2.5,45
14:00:20,1.2,2.5,45
14:00:21,1.2,2.5,45
14:00:22,1.2,2.5,45
14:00:23,1.2,2.5,45
14:00:24,1.2,2.5,45
14:00:25,1.2,2.5,45
14:00:26,1.2,2.5,45
14:00:27,1.2,2.5,45
14:00:28,1.2,2.5,45
14:00:29,1.2,2.5,45
14:00:30,1.2,2.5,45
14:00:31,1.2,2.5,45
14:00:32,1.2,2.5,45
14:00:33,1.2,2.5,45
14:00:34,1.2,2.5,45
14:00:35,1.2,2.5,45
14:00:36,1.2,2.5,45
14:00:37,1.2,2.5,45
14:00:38,1.2,2.5,45
14:00:39,1.2,2.5,45
14:00:40,1.2,2.5,45
14:00:41,1.2,2.5,45
14:00:42,1.2,2.5,45
14:00:43,1.2,2.5,45
14:00:44,1.2,2.5,45
14:00:45,1.2,2.5,45
14:00:46,1.2,2.5,45
14:00:47,1.2,2.5,45
14:00:48,1.2,2.5,45
14:00:49,1.2,2.5,45
14:00:50,1.2,2.5,45
14:00:51,1.2,2.5,45
14:00:52,1.2,2.5,45
14:00:53,1.2,2.5,45
14:00:54,1.2,2.5,45
14:00:55,1.2,2.5,45
14:00:56,1.2,2.5,45
14:00:57,1.2,2.5,45
14:00:58,1.2,2.5,45
14:00:59,1.2,2.5,45
14:01:00,1.2,2.5,45
14:01:01,1.2,2.5,45
14:01:02,1.2,2.5,45
14:01:03,1.2,2.5,45
